Standard;Constituent;Al2O3;CaO;CO2;Fe2O3;Fe2O3-T;FeO;H2O;H2O+;H2O-;H2O-T;K2O;Li2O;MgO;MnO;Na2O;P2O5;SiO2;TiO2;B2O3;BaO;Cs2O;Cr2O3;CuO;NiO;Rb2O;SrO;WO3;ZnO;ZrO2;Oxide Sum;Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ni;O;Os;P;Pb;Pd;Pr;Pt;Ra;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Th;Ti;Tl;Tm;U;V;W;Y;Yb;Zn;Zr;Carbon Total;Carbon Inorga;Carbon Organic;Carbon Organic Calc;Ag-107;Ag-109;Ag-109/107;Ar-36;Ar-38/36;Ar-40/36;B-11/10;Ba-130/138;Ba-135/138;Ba-136/138;Cd-106;Cd-108;Cd-110;Cd-111;Cd-112;Cd-113;Cd-114;Cd-114/116;Cd-116;Ce-138/142;Cu-63;Cu-63/65;Cu-65;dC-13 -;dN-15 +;dO-18 Biotite;dO-18 K-feldspar;dO-18 Plagioclase;dO-18 Quartz;dO-18 Whole Rock;dS-34 +;dS-34 -;He-3/4;He-4;Hf-176/177;Kr-78/84;Kr-80/84;Kr-82/84;Kr-83/84;Kr-84;Kr-86/84;Li-7/6;Nd-142/144;Nd-143/144;Nd-145/144;Nd-146/144;Nd-148/144;Nd-150/144;Ne-20;Ne-20/22;Ne-21/22;NH4;Pb-204;Pb-206;Pb-207;Pb-208;Pb-206/204;Pb-207/204;Pb-208/204;Pb-208/206;Ra;Ra-226;Ra-228;Ra-228/226;Sm-147/Nd-14;Sr-87/86;Tl-203;Tl-205;Tl-205/203;Thorium Series Isotopes;Th-228/232;Th-230/232;U-series;U-234/238;U-238/235;V-51/50;Xe-128/132;Xe-129/132;Xe-130/132;Xe-131/132;Xe-132;Xe-134/132;Xe-136/132;Zn-68/64;Age;Loss on Ignition;Comment
GXR-2;Concentration;35.10;1.30;0.09;1.81;2.66;0.76;;3.40;2.25;5.50;1.65;;1.41;;0.75;0.14;47.54;0.50;0.013524;0.25;;0.00526158;0.01;;;0.01892176;;0.06597228;0.036315;95.80;17;18.57;25;0.036;42;2240;1.7;0.69;3.2;2.61;0.93;4.1;51.4;bdl;8.6;36;5.2;76;3.3;;0.81;450;;37;3.3;12;;8.3;2.9;;;0.25;;1.37;25.6;54;0.27;8480;1010;2.1;;5600;11;19;21;;;600;690;0.0001;;bdl;;78;;;;313;49;6.88;0.61;22.2;3.5;1.7;160;0.9;0.48;0.69;8.8;3020;1.03;0.3;2.9;52;1.9;17;2.04;530;269;;240;2.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.5;
GXR-2;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GXR-2;Uncertainty;0.11;0.10;;0.09;0.09;;;0.60;0.06;0.60;0.11;;0.15;;0.01;0.07;1.69;0.04;0.000644;0.01;;0.00058462;;;;0.00118261;;0.007966464;0.00351;1.80;3;0.06;4;0.005;2;60;0.4;0.42;;0.24;0.07;0.7;1.6;;0.3;4;0.3;9;0.3;;0.1;160;;8;;;;0.9;0.7;;;;;0.09;1.8;9;;900;40;1;;110;1.4;;5;;;300;60;;;;;8;;;;28;5;0.09;0.13;0.79;0.2;0.5;10;0.17;0.09;0.29;0.3;240;0.23;;0.06;4;0.4;3;0.24;64;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;
GXR-2;Units;%;%;%;%;%;%;;%;%;%;%;;%;;%;%;%;%;%;%;;%;%;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;;ppm;ppm;ppm;;ppm;ppm;;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;;ppm;;ppm;;;;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
GXR-2;N;14;30;5;55;55;1;;5;3;5;21;;30;;18;8;15;27;11;29;;39;126;;;20;;123;16;;77;14;40;18;11;29;11;8;2;5;30;30;5;1;94;39;9;126;3;;5;15;;8;2;1;;5;18;;;2;;21;7;14;2;30;75;47;;18;4;2;98;;;8;113;1;;2;;12;;;;7;32;8;15;15;7;9;20;5;3;3;8;27;5;1;22;20;14;11;4;123;16;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;
GXR-2;Data Quality;Certified value equivalent;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;;Provisional value;Provisional value;Provisional value;Recommended value;;Provisional value;;Certified value equivalent;Provisional value;Recommended value;Recommended value;Certified value equivalent;Certified value equivalent;;Recommended value;Provisional value;;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Certified value equivalent;Certified value equivalent;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;Certified value equivalent;Recommended value;Certified value equivalent;Recommended value;Provisional value;;Provisional value;Provisional value;;Provisional value;Provisional value;Provisional value;;Provisional value;Recommended value;;;Provisional value;;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Certified value equivalent;Provisional value;;Certified value equivalent;Provisional value;Provisional value;Provisional value;;;Provisional value;Recommended value;Provisional value;;Provisional value;;Recommended value;;;;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Certified value equivalent;Recommended value;Provisional value;Provisional value;Certified value equivalent;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;;Provisional value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
GXR-3;Concentration;12.1;19;4.84;27.1;27.2;bdl;;4.81;2.8;7;0.88;0.0245;1.34;2.88;1.13;0.25;13.36;0.17;0.05152;0.56;;0.002820791;;;;0.112348;1.35;0.02576653;0.008505;101.4;2.4;6.4;3970;0.03;160;5000;26;16;bdl;1.31;13.6;1.8;18;;46;19.3;175;15;;;0.48;8.62;19;18;2.35;110;;2.4;0.33;;;0.058;;7300;8.8;114;0.17;8100;2.23;6.6;;8380;44;8.3;60;;;1080;15;0.78;;bdl;;92;;;;2320;38;16.8;0.15;6.24;1.3;1.7;950;0.29;0.24;0.009;2.94;1020;3.6;0.19;3;42;1.07;15;0.91;207;63;;1.32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.8;
GXR-3;Detection Limit;;;;;;0.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GXR-3;Uncertainty;1.3;0.6;;0.6;0.6;;;0.28;0.4;1.3;0.06;0.0056;0.14;0.31;0.11;0.07;0.73;0.02;0.01288;0.04;;8.7693E-05;;;;0.0118261;0.01;0.004107708;0.002565;1.8;1.1;0.7;60;0.029;40;330;4;10;;0.03;0.4;1.4;2;;2;0.6;12;5;;;0.12;0.34;0.4;8;;40;;0.5;0.04;;;;;500;2.3;26;;830;0.24;3.4;;810;48;;15;;;320;7;;;;;15;;;;380;17;1.1;0.09;0.34;0.4;1.4;100;0.04;;;0.24;90;0.5;;0.3;10;0.01;4;;33;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9;
GXR-3;Units;%;%;%;%;%;%;;%;%;%;%;%;%;%;%;%;%;%;%;%;;%;;;;%;%;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;%;ppm;ppm;;ppm;ppm;ppm;ppm;;;ppm;%;%;ppm;ppm;ppm;;ppm;ppm;;;ppm;;ppm;ppm;ppm;ppm;ppm;%;ppm;;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;;ppm;;ppm;;;;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
GXR-3;N;15;28;6;49;49;1;;5;4;5;18;14;29;60;17;8;21;24;10;26;;36;;;;17;28;111;13;;57;15;47;15;10;26;18;8;1;6;28;21;3;;93;36;8;113;;;3;10;49;5;2;3;;3;16;;;1;;18;3;14;1;29;60;56;;17;6;1;101;;;8;106;2;;1;;10;;;;8;27;9;14;21;5;14;17;3;2;1;5;24;4;1;20;23;28;11;2;111;13;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;
GXR-3;Data Quality;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;;Certified value equivalent;;;;Recommended value;Certified value equivalent;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;Certified value equivalent;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;Certified value equivalent;Recommended value;Provisional value;Provisional value;;Certified value equivalent;Certified value equivalent;Recommended value;Provisional value;;;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;;Provisional value;Recommended value;;;Provisional value;;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;;Recommended value;Provisional value;Provisional value;Provisional value;;;Provisional value;Provisional value;Provisional value;;Provisional value;;Recommended value;;;;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;Certified value equivalent;Provisional value;Provisional value;Recommended value;Provisional value;;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
GXR-4;Concentration;13.6;1.41;0.19;0.09;4.42;3.89;;1.84;0.91;2.4;4.83;;2.75;0.02;0.76;0.27;66.19;0.48;0.001449;0.183106;;0.00935392;0.82;;;0.02613568;;0.009086749;0.02511;100.3;4;7.2;98;0.47;4.5;1640;1.9;19;0.5;710;1.01;0.86;102;78;14.6;64;2.8;6520;2.6;;1.63;2840;3.09;20;5.25;12;;6.3;0.11;;;0.27;;4.01;64.5;11.1;0.17;1.66;149;310;;5610;10;45;42;;;1160;52;0.0002;;bdl;;160;;;;1.77;4.8;7.7;5.6;30.91;6.6;5.6;221;0.79;0.36;0.97;22.5;2870;3.2;0.21;6.2;87;30.8;14;1.6;73;186;;520;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;There were two datasets for BaO. The data set with the better data quality is shown. The other dataset is: BaO, Concentration: 0.18, Uncertainty: 0.01, Units: %, N: 28, Data Quality: Recommended value.
GXR-4;Detection Limit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GXR-4;Uncertainty;1.3;0.07;;0.09;0.09;;;0.08;0.23;0.4;0.24;;0.28;0.003;0.06;0.05;1.46;0.03;0.0001932;0.0078155;;0.00058462;0.07;;;0.003074786;;0.000871332;0.003375;1.9;1;0.7;7;0.08;0.6;70;0.6;4;;270;0.05;0.6;13;;0.9;4;0.3;550;;;0.04;170;0.06;7;;;;1.2;0.03;;;0.2;;0.2;0.9;1.4;;0.17;26;60;;440;2;;6;;;220;6;;;;;10;;;;0.07;0.4;0.6;0.6;0.68;0.4;1.4;26;0.08;;0.13;1.6;190;0.5;;0.13;5;1.9;4;;7;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.2;
GXR-4;Units;%;%;%;%;%;%;;%;%;%;%;;%;%;%;%;%;%;%;%;;%;%;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;;ppm;;ppm;;;;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
GXR-4;N;17;30;4;55;55;1;;5;4;5;18;;30;65;16;7;17;25;3;28;;43;127;;;19;;110;14;;78;17;43;29;3;28;18;26;1;4;30;22;7;1;89;43;8;127;1;;3;13;55;8;2;1;;4;11;;;3;;18;9;12;1;30;75;75;;16;6;1;99;;;7;116;1;;2;;13;;;;8;26;7;18;17;5;19;19;5;2;5;7;25;8;1;27;23;18;11;2;110;14;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;
GXR-4;Data Quality;Provisional value;Recommended value;Provisional value;Provisional value;Certified value equivalent;Provisional value;;Provisional value;Provisional value;Provisional value;Recommended value;;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Certified value equivalent;;Recommended value;Recommended value;;;Recommended value;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Certified value equivalent;Provisional value;Provisional value;Provisional value;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;;Provisional value;Recommended value;Certified value equivalent;Provisional value;Provisional value;Provisional value;;Provisional value;Recommended value;;;Provisional value;;Recommended value;Certified value equivalent;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;;Recommended value;Provisional value;Provisional value;Recommended value;;;Provisional value;Recommended value;Provisional value;;Provisional value;;Recommended value;;;;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Recommended value;Recommended value;Recommended value;Provisional value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;;Provisional value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
GXR-5;Concentration;38.2;1.17;0.12;3.47;4.84;1.23;;3.66;2.29;5.7;1.06;;1.97;0.0378;1.05;0.07;41.39;0.37;0.007084;0.22;;0.01476165;0.04;;;0.01300871;;0.006099324;0.0189;98;1.4;20.2;11.2;0.016;22;2000;1.4;0.38;7.8;1.68;0.84;0.7;39;;29.9;101;2.16;354;2.8;;0.95;220;3.38;40;2.7;13;;4.6;0.158;;3.1;0.29;;8800;18.9;40;0.22;1.19;293;31;;7800;6.7;19;75;;;310;21;0.0004;;0.05;;41;;;;270;1.63;7.4;1.12;19.33;3.2;2;110;0.48;0.46;0.1;5.6;2200;0.33;0.27;2.07;56;1.11;16;1.75;49;140;;328;1.65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.4;
GXR-5;Uncertainty;1.1;0.1;;0.39;0.39;;;0.69;0.49;1.3;0.02;;0.17;0.002;0.09;0.02;1.24;0.02;0.000644;0.02;;0.000730775;0.004;;;0.000946088;;0.001120284;0.0054;1.9;0.6;0.6;1.7;0.013;2;150;0.5;0.06;0.4;0.19;0.07;0.6;4;;1.2;5;0.16;34;0.8;;0.06;70;0.27;4;;;;0.3;0.017;;;0.19;;200;1;7;;0.1;17;7;;700;2.6;;8;;;75;7;;;;;3;;;;40;0.28;0.4;0.05;0.58;0.4;0.7;8;0.05;0.07;;0.3;100;0.11;;0.21;12;0.26;1.5;0.26;9;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2;
GXR-5;Units;%;%;%;%;%;%;;%;%;%;%;;%;%;%;%;%;%;%;%;;%;%;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;%;%;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;;ppm;ppm;;ppm;ppm;ppm;ppm;%;ppm;ppm;;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;;ppm;;ppm;;;;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
GXR-5;N;17;32;6;61;61;1;;5;4;5;22;;31;76;21;9;17;27;8;36;;49;135;;;17;;116;18;;63;17;35;12;8;36;11;7;3;6;32;20;8;;96;49;9;135;3;;5;13;61;6;2;1;;5;15;;1;5;;22;6;14;2;31;76;83;;21;4;2;107;;;9;114;1;;2;;13;;;;7;21;8;18;17;7;11;17;7;3;2;9;27;7;1;23;24;12;9;4;116;18;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;
GXR-5;Data Quality;Certified value equivalent;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;;Provisional value;Provisional value;Provisional value;Certified value equivalent;;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;;Recommended value;Recommended value;;;Recommended value;;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;;Certified value equivalent;Recommended value;Certified value equivalent;Recommended value;Provisional value;;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;;Provisional value;Recommended value;;Provisional value;Provisional value;;Certified value equivalent;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;;Recommended value;Provisional value;Provisional value;Recommended value;;;Provisional value;Provisional value;Provisional value;;Provisional value;;Recommended value;;;;Recommended value;Recommended value;Certified value equivalent;Certified value equivalent;Recommended value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;Certified value equivalent;Certified value equivalent;Provisional value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Provisional value;Recommended value;Provisional value;;Provisional value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
GXR-6;Concentration;33.4;0.25;0.03;7.9;7.98;bdl;;5.29;1.8;6;2.25;;1.01;0.134;0.14;0.08;46.68;0.83;0.0031556;0.15;;0.01403088;;;;0.004139135;;0.01468817;0.01485;100.1;1.3;17.7;330;0.095;9.8;1300;1.4;0.29;1.4;1470;1800;1;36;;13.8;96;4.2;66;2.8;;0.76;220;5.58;35;2.97;14;;4.3;0.068;;;0.26;;1.87;13.9;32;0.33;6100;1040;2.4;;1060;7.5;13;27;;;330;101;0.0022;;0.15;;90;;;;160;3.6;27.6;0.94;21.8;2.67;1.7;35;0.485;0.415;0.018;5.3;5000;2.2;0.032;1.54;186;1.9;14;2.4;118;110;;0.009;0.14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.6;
GXR-6;Detection Limit;;;;;;0.09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GXR-6;Uncertainty;1.1;0.1;;0.59;0.59;;;0.17;0.5;1.8;0.05;;0.08;0.006;0.01;0.03;1.99;0.02;0.0002898;0.01;;0.001023085;;;;0.000473044;;0.002116092;0.00405;2.4;0.6;0.6;25;0.014;0.9;100;0.4;0.13;;400;700;1;4;;1;7;0.21;8;;;0.03;60;0.41;3;0.15;;;0.7;0.014;;;;;0.04;0.9;6;;500;50;0.8;;90;1.9;;3;;;130;15;;;;;4;;;;40;1;2.6;0.18;0.93;0.15;0.7;4;0.03;;;0.22;100;0.4;;0.07;11;0.5;4;0.4;17;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
GXR-6;Units;%;%;%;%;%;%;;%;%;%;%;;%;%;%;%;%;%;%;%;;%;;;;%;;%;%;%;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;%;ppm;ppm;ppm;;ppm;ppm;;;ppm;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;ppm;ppm;ppm;;;ppm;ppm;ppm;;ppm;;ppm;;;;ppm;ppm;ppm;ppm;%;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;;ppm;%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;%;
GXR-6;N;18;30;6;54;54;1;;4;4;5;20;;32;77;17;8;17;28;7;27;;39;;;;15;;112;16;;;;;;;;;;;;;22;5;;94;39;7;124;1;;4;14;54;6;3;1;;4;15;;;2;;20;5;12;1;32;77;52;;17;4;1;101;;;8;115;1;;2;;11;;;;6;21;10;17;17;6;10;15;4;2;2;6;28;6;1;20;26;11;10;3;112;16;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;
GXR-6;Data Quality;Recommended value;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;;Provisional value;Provisional value;Provisional value;Certified value equivalent;;Recommended value;Recommended value;Recommended value;Provisional value;Recommended value;Certified value equivalent;Recommended value;Recommended value;;Recommended value;;;;Recommended value;;Recommended value;Provisional value;Recommended value;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Recommended value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;Provisional value;;Recommended value;Recommended value;Certified value equivalent;Recommended value;Provisional value;;Provisional value;Provisional value;Recommended value;Recommended value;Provisional value;Provisional value;;Provisional value;Recommended value;;;Provisional value;;Certified value equivalent;Provisional value;Recommended value;Provisional value;Recommended value;Certified value equivalent;Provisional value;;Recommended value;Provisional value;Provisional value;Recommended value;;;Provisional value;Recommended value;Provisional value;;Provisional value;;Certified value equivalent;;;;Provisional value;Recommended value;Recommended value;Recommended value;Recommended value;Certified value equivalent;Provisional value;Recommended value;Provisional value;Provisional value;Provisional value;Certified value equivalent;Certified value equivalent;Recommended value;Provisional value;Certified value equivalent;Recommended value;Recommended value;Provisional value;Provisional value;Recommended value;Provisional value;;Provisional value;Provisional value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Provisional value;
IF-G;Concentration;0.15;1.55;0.3;37.2;55.85;16.78;;0.41;0.06;;0.012;;1.89;0.042;0.032;0.063;41.2;0.014;;0.000167475;;0.00058462;;;;0.000354783;;0.00248952;0.000135;;;790;1.5;;;1.5;4.7;;;;1.11;;4;25;29;4;0.06;10;0.8;0.63;0.39;50;39.04;0.7;0.74;24;;0.04;;0.2;;0.02;;100;2.8;1;0.09;;330;0.7;;240;0.1;1.8;22.5;;;270;4;;0.4;;;0.4;;;;700;0.63;0.3;;;0.4;0.3;3;0.2;0.11;;0.1;;0.02;0.09;0.02;2;220;9;0.6;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1;
